permit_id,application_date,province,mining_type,mineral_type,company_size,project_area,estimated_duration,distance_to_water,distance_to_protected_area,distance_to_indigenous_land,expected_employment,environmental_assessment_score,public_comments_received,public_opposition_percentage,company_compliance_history,previous_permits,approval_time_months,approval_confidence,approval_probability,decision_date
NRCAN-A999,2025-07-21,British Columbia,Open-pit,"Ag,Pb,Zn",Small,4376.83,20,37.88,35.75,50.0,343,7.05,596,70.77,3.98,3,18.9,Medium,0.6,2027-02-08
NRCAN-A1855,2022-03-26,British Columbia,Underground,Au,Large,4814.7,28,46.81,2.17,90.73,277,3.03,277,19.84,6.15,19,27.6,Low,0.35,2024-07-01
NRCAN-A1856,2023-11-12,British Columbia,Open-pit,Au,Major,2213.17,6,10.63,18.93,42.35,219,3.93,713,21.25,6.11,4,20.3,Low,0.5,2025-07-13
NRCAN-A1857,2023-09-01,British Columbia,Open-pit,Au,Major,1346.3,27,42.5,84.57,84.24,213,5.84,584,19.56,3.03,10,14.5,Medium,0.7,2024-11-09
NRCAN-A1858,2025-07-31,British Columbia,Open-pit,Au,Large,309.37,26,34.82,51.54,2.28,44,6.48,890,24.7,6.51,13,24.8,Medium,0.55,2027-08-14
NRCAN-A1859,2021-11-22,British Columbia,Open-pit,Au,Medium,3668.28,6,6.14,41.36,54.93,221,7.44,757,22.12,6.74,19,14.5,High,0.8,2023-01-31
NRCAN-A186,2021-12-25,British Columbia,Underground,"Cu,Ag,Au",Medium,3090.22,7,27.8,90.02,129.81,172,10.0,454,81.37,8.57,6,18.0,Medium,0.7,2023-06-18
NRCAN-A1860,2023-09-23,British Columbia,Open-pit,Au,Medium,4863.33,25,46.5,7.5,97.52,314,6.27,231,53.33,8.63,17,23.8,Low,0.45,2025-09-06
NRCAN-A1861,2025-04-10,British Columbia,Open-pit,Au,Major,3563.7,22,30.98,92.23,130.13,354,3.5,380,29.65,6.21,4,23.4,Low,0.5,2027-03-13
NRCAN-A1862,2021-03-01,British Columbia,Open-pit,Au,Major,4666.48,28,26.49,2.78,111.07,339,4.53,208,34.51,7.73,1,21.0,Medium,0.55,2022-11-21
NRCAN-A1863,2022-10-25,British Columbia,Open-pit,Au,Large,4957.98,26,18.38,56.27,107.96,420,7.91,797,95.78,8.49,17,15.5,Medium,0.75,2024-02-02
NRCAN-A1864,2021-07-17,British Columbia,Open-pit,Au,Major,2147.87,17,39.46,55.51,130.5,133,7.39,74,18.39,5.46,8,12.7,Medium,0.75,2022-08-02
NRCAN-A1865,2024-10-05,British Columbia,Underground,Au,Major,759.97,8,45.66,63.91,2.93,58,6.14,938,88.68,4.99,2,22.3,Low,0.35,2026-08-05
NRCAN-A1866,2024-04-01,British Columbia,Open-pit,Au,Large,987.3,2,37.69,2.96,63.0,212,3.37,182,73.68,5.07,5,28.9,Low,0.15,2026-08-16
NRCAN-A1867,2023-06-05,British Columbia,Underground,Au,Large,1598.69,19,36.29,53.05,144.06,184,6.96,782,61.35,6.9,6,18.2,Medium,0.5,2024-12-02
NRCAN-A1868,2022-12-06,British Columbia,Open-pit,Au,Medium,2549.39,28,9.71,11.36,26.57,226,5.44,326,62.41,5.48,14,24.7,Medium,0.55,2024-12-16
NRCAN-A1869,2021-03-20,British Columbia,Open-pit,Au,Medium,620.88,21,41.72,15.6,98.06,131,6.01,60,42.29,5.43,3,17.2,Medium,0.6,2022-08-18
NRCAN-A187,2021-10-15,British Columbia,Underground,"Cu,Au,Ag",Small,1515.57,22,2.13,21.54,118.53,158,9.66,834,43.89,4.14,5,14.4,Medium,0.7,2022-12-21
NRCAN-A1870,2024-03-28,British Columbia,Open-pit,"Cu,Au",Medium,1545.89,7,37.89,61.32,140.04,255,4.87,662,79.61,9.12,3,15.4,Medium,0.6,2025-07-03
NRCAN-A1871,2022-03-17,British Columbia,Open-pit,"Wo,Mo,Ag",Large,30.39,12,10.62,39.01,130.77,110,1.93,794,81.09,6.72,19,22.4,Low,0.35,2024-01-18
NRCAN-A1872,2022-10-27,British Columbia,Open-pit,"Cu,Au",Medium,1777.3,20,24.41,8.53,101.49,283,7.1,93,57.12,4.72,18,26.3,Low,0.45,2024-12-24
NRCAN-A1873,2025-08-10,British Columbia,Open-pit,"Au,Cu,Zn",Major,589.6,3,34.79,28.9,106.67,200,3.24,943,76.86,9.2,4,20.5,Low,0.4,2027-04-17
NRCAN-A1874,2021-04-01,British Columbia,Open-pit,"Bs,At",Medium,2154.26,25,37.98,7.66,51.46,257,2.25,956,81.01,7.98,11,32.5,Low,0.3,2023-12-02
NRCAN-A1875,2024-01-07,British Columbia,Open-pit,"Cu,Mo",Small,990.72,4,44.42,66.41,33.59,180,7.0,527,33.21,2.99,0,10.3,Medium,0.6,2024-11-11
NRCAN-A1876,2023-11-27,British Columbia,Open-pit,Cl,Major,4112.35,25,14.2,55.75,143.79,374,5.64,653,62.34,6.46,6,21.2,Medium,0.55,2025-08-24
NRCAN-A1877,2023-04-19,British Columbia,Open-pit,"Cu,Mo,Ag",Large,411.82,25,11.29,40.77,146.33,198,4.2,947,43.58,8.42,8,9.3,Medium,0.75,2024-01-23
NRCAN-A1854,2025-10-30,British Columbia,Underground,Au,Major,3320.39,20,15.41,57.01,17.87,328,4.56,591,30.57,7.99,16,16.3,High,0.8,2027-03-03
NRCAN-A1878,2020-07-07,British Columbia,Open-pit,Au,Medium,4329.65,11,49.81,92.77,63.69,251,6.21,597,9.81,3.86,2,13.1,Medium,0.65,2021-08-04
NRCAN-A1853,2021-07-26,British Columbia,Open-pit,Au,Medium,3560.95,28,32.12,59.1,39.12,358,6.2,519,67.48,4.87,17,25.3,Medium,0.55,2023-08-24
NRCAN-A1851,2024-03-13,British Columbia,Open-pit,Au,Large,2362.62,16,12.27,6.18,5.48,213,5.9,119,83.68,7.22,18,24.6,Low,0.45,2026-03-21
NRCAN-A1829,2021-01-11,British Columbia,Underground,Au,Medium,3223.4,25,40.07,72.11,49.04,248,5.26,100,68.5,10.0,1,21.1,Medium,0.6,2022-10-06
NRCAN-A183,2024-06-07,British Columbia,Underground,"Pb,Zn,Ag",Large,785.3,15,48.74,89.53,126.18,161,7.18,921,22.01,6.59,8,10.4,Medium,0.75,2025-04-15
NRCAN-A1830,2021-03-14,British Columbia,Underground,"Au,Ag,Pb",Medium,3152.0,17,26.42,58.99,22.49,351,4.42,594,88.24,4.69,2,19.8,Low,0.5,2022-10-29
NRCAN-A1831,2020-06-21,British Columbia,Open-pit,Au,Large,2867.83,28,6.56,56.97,126.03,174,5.27,89,31.73,1.72,5,19.1,Medium,0.6,2022-01-15
NRCAN-A1832,2023-01-28,British Columbia,Underground,"Au,Ag,Pb",Small,2793.65,29,40.55,91.28,94.59,194,6.13,443,53.76,10.0,18,15.7,Medium,0.6,2024-05-13
NRCAN-A1833,2023-03-30,British Columbia,Open-pit,"Fl,Mo,Sr",Major,4131.98,23,34.82,29.49,21.16,316,6.46,879,32.9,10.0,9,14.9,High,0.8,2024-06-19
NRCAN-A1834,2020-10-12,British Columbia,Open-pit,Au,Medium,927.64,9,47.7,20.37,25.27,105,6.19,49,42.53,3.81,1,13.0,Medium,0.6,2021-11-06
NRCAN-A1835,2023-11-15,British Columbia,Underground,Au,Major,3760.31,16,26.81,87.28,99.48,386,3.81,690,52.22,7.0,17,27.2,Low,0.4,2026-02-08
NRCAN-A1836,2023-01-31,British Columbia,Underground,"Au,Ag,Pb",Medium,3807.02,26,17.92,7.45,109.38,337,7.58,888,74.75,6.67,7,31.7,Low,0.45,2025-09-08
NRCAN-A1837,2024-06-27,British Columbia,Open-pit,"Au,Cu",Large,3616.0,1,48.15,18.97,98.36,273,5.91,56,12.08,3.12,8,19.7,Medium,0.7,2026-02-08
NRCAN-A1838,2025-07-16,British Columbia,Underground,Au,Medium,2534.78,26,26.97,41.13,107.11,308,1.78,449,35.22,7.15,16,18.1,Medium,0.65,2027-01-10
NRCAN-A1839,2024-10-20,British Columbia,Open-pit,"Mb,Ds,Bs",Large,1983.74,16,0.89,36.13,54.24,136,3.38,446,63.96,7.75,1,28.5,Low,0.25,2027-02-22
NRCAN-A184,2022-02-11,British Columbia,Open-pit,"Au,Fe,Ag",Medium,1979.44,19,23.74,70.61,0.22,163,5.23,552,58.88,5.92,8,29.6,Low,0.4,2024-07-18
NRCAN-A1840,2024-04-05,British Columbia,Open-pit,"Ag,Au,Cu",Large,3671.71,23,0.22,9.18,79.34,375,6.26,978,78.08,6.82,1,30.5,Low,0.15,2026-10-07
NRCAN-A1841,2024-10-11,British Columbia,Underground,"Au,Ag,Pb",Large,2494.5,9,36.91,47.72,89.18,240,7.12,331,88.91,7.49,14,17.3,Medium,0.75,2026-03-14
NRCAN-A1842,2022-11-18,British Columbia,Open-pit,Au,Large,1698.78,17,28.34,80.86,103.15,269,8.88,235,9.41,6.43,2,21.5,Medium,0.75,2024-08-24
NRCAN-A1843,2021-02-03,British Columbia,Underground,"Zn,Pb,Ag",Large,3131.09,6,5.58,68.33,34.7,353,5.31,34,71.38,5.9,7,19.4,Medium,0.55,2022-09-08
NRCAN-A1844,2023-11-20,British Columbia,Open-pit,"Si,Vl",Small,4186.69,27,40.67,63.16,25.53,287,5.6,223,28.4,5.86,6,17.1,Medium,0.7,2025-04-16
NRCAN-A1845,2025-08-30,British Columbia,Underground,Au,Medium,316.93,14,26.87,23.94,124.55,135,3.05,948,48.14,7.72,12,12.4,Medium,0.6,2026-09-06
NRCAN-A1846,2020-11-23,British Columbia,Open-pit,Au,Large,4860.96,18,5.79,39.36,126.19,413,5.9,588,62.78,7.54,11,17.5,Medium,0.65,2022-05-02
NRCAN-A1847,2025-02-09,British Columbia,Underground,"Au,Ag,Cu",Small,492.29,21,8.08,18.07,148.14,86,6.21,995,15.06,8.46,18,7.0,Medium,0.75,2025-09-07
NRCAN-A1848,2022-03-07,British Columbia,Open-pit,Au,Medium,2563.57,14,41.12,50.89,50.96,223,7.28,960,34.66,7.06,12,10.5,High,0.9,2023-01-16
